category,count,delay_profile,model,runtime,split,suite
queue_empty_bounded_hold,1,burst_0250_to1800_canary,smolvla,lerobot_latest_only,canary,libero_object
queue_empty_bounded_hold,1,fixed_0950,smolvla,lerobot_latest_only,canary,libero_object
queue_empty_bounded_hold,1,burst_0250_to1800_canary,smolvla,lerobot_rtc,canary,libero_object
heavy_stale_discard,1,fixed_0000,smolvla,lerobot_rtc,canary,libero_object
queue_empty_bounded_hold,1,fixed_0950,smolvla,lerobot_rtc,canary,libero_object
task_failure_other,1,burst_0250_to1800_canary,smolvla,sync_hold,canary,libero_object
task_failure_other,1,fixed_0000,smolvla,sync_hold,canary,libero_object
task_failure_other,1,fixed_0950,smolvla,sync_hold,canary,libero_object
queue_depletion_safe_hold,1,fixed_0950,xvla,actionstream_backend_aligned,canary,libero_goal
queue_depletion_safe_hold,1,fixed_0950,xvla,actionstream_backend_guarded,canary,libero_goal
queue_depletion_safe_hold,1,fixed_0950,xvla,actionstream_backend_aligned,canary,libero_object
queue_depletion_safe_hold,1,fixed_0950,xvla,actionstream_backend_guarded,canary,libero_object
queue_empty_bounded_hold,1,burst_0250_to1800_canary,xvla,lerobot_weighted_average,canary,libero_object
queue_depletion_safe_hold,1,burst_0250_to1800_canary,xvla,actionstream_backend_guarded,canary,libero_spatial
queue_depletion_safe_hold,3,fixed_0950,xvla,actionstream_backend_aligned,holdout,libero_goal
queue_depletion_safe_hold,1,burst_0250_to2000_holdout,xvla,actionstream_backend_guarded,holdout,libero_goal
queue_depletion_safe_hold,5,fixed_0950,xvla,actionstream_backend_guarded,holdout,libero_goal
queue_depletion_safe_hold,2,jitter_0600_pm0400_holdout,xvla,actionstream_backend_guarded,holdout,libero_goal
queue_empty_bounded_hold,1,burst_0250_to2000_holdout,xvla,lerobot_latest_only,holdout,libero_goal
heavy_stale_discard,2,fixed_0000,xvla,lerobot_latest_only,holdout,libero_goal
heavy_stale_discard,1,fixed_0250,xvla,lerobot_latest_only,holdout,libero_goal
queue_empty_bounded_hold,2,burst_0250_to2000_holdout,xvla,lerobot_weighted_average,holdout,libero_goal
heavy_stale_discard,2,fixed_0000,xvla,lerobot_weighted_average,holdout,libero_goal
heavy_stale_discard,2,fixed_0250,xvla,lerobot_weighted_average,holdout,libero_goal
queue_depletion_safe_hold,4,burst_0250_to2000_holdout,xvla,actionstream_backend_guarded,holdout,libero_object
queue_empty_bounded_hold,2,burst_0250_to2000_holdout,xvla,lerobot_weighted_average,holdout,libero_object
heavy_stale_discard,2,fixed_0250,xvla,lerobot_weighted_average,holdout,libero_object
queue_empty_bounded_hold,1,fixed_0950,xvla,lerobot_weighted_average,holdout,libero_object
heavy_stale_discard,4,jitter_0600_pm0400_holdout,xvla,lerobot_weighted_average,holdout,libero_object
queue_depletion_safe_hold,2,burst_0250_to2000_holdout,xvla,actionstream_backend_aligned,holdout,libero_spatial
heavy_stale_discard,3,fixed_0000,xvla,actionstream_backend_aligned,holdout,libero_spatial
heavy_stale_discard,2,fixed_0250,xvla,actionstream_backend_aligned,holdout,libero_spatial
queue_depletion_safe_hold,2,fixed_0950,xvla,actionstream_backend_aligned,holdout,libero_spatial
queue_depletion_safe_hold,1,jitter_0600_pm0400_holdout,xvla,actionstream_backend_aligned,holdout,libero_spatial
queue_depletion_safe_hold,2,burst_0250_to2000_holdout,xvla,actionstream_backend_guarded,holdout,libero_spatial
heavy_stale_discard,3,fixed_0000,xvla,actionstream_backend_guarded,holdout,libero_spatial
heavy_stale_discard,2,fixed_0250,xvla,actionstream_backend_guarded,holdout,libero_spatial
queue_depletion_safe_hold,2,fixed_0950,xvla,actionstream_backend_guarded,holdout,libero_spatial
queue_depletion_safe_hold,1,jitter_0600_pm0400_holdout,xvla,actionstream_backend_guarded,holdout,libero_spatial
queue_empty_bounded_hold,2,burst_0250_to2000_holdout,xvla,lerobot_latest_only,holdout,libero_spatial
heavy_stale_discard,2,fixed_0000,xvla,lerobot_latest_only,holdout,libero_spatial
heavy_stale_discard,1,fixed_0250,xvla,lerobot_latest_only,holdout,libero_spatial
queue_empty_bounded_hold,1,fixed_0950,xvla,lerobot_latest_only,holdout,libero_spatial
queue_empty_bounded_hold,1,jitter_0600_pm0400_holdout,xvla,lerobot_latest_only,holdout,libero_spatial
queue_empty_bounded_hold,2,burst_0250_to2000_holdout,xvla,lerobot_weighted_average,holdout,libero_spatial
heavy_stale_discard,3,fixed_0000,xvla,lerobot_weighted_average,holdout,libero_spatial
heavy_stale_discard,2,fixed_0250,xvla,lerobot_weighted_average,holdout,libero_spatial
queue_empty_bounded_hold,3,fixed_0950,xvla,lerobot_weighted_average,holdout,libero_spatial
queue_empty_bounded_hold,3,jitter_0600_pm0400_holdout,xvla,lerobot_weighted_average,holdout,libero_spatial
task_failure_other,1,burst_0250_to2000_holdout,xvla,sync_hold,holdout,libero_spatial
task_failure_other,1,fixed_0000,xvla,sync_hold,holdout,libero_spatial
task_failure_other,1,fixed_0250,xvla,sync_hold,holdout,libero_spatial
task_failure_other,1,fixed_0950,xvla,sync_hold,holdout,libero_spatial
task_failure_other,1,jitter_0600_pm0400_holdout,xvla,sync_hold,holdout,libero_spatial
