bounded_hold_steps_sum,completed_inferences_per_second_mean,delay_profile,delivery_latency_p50_seconds_median,delivery_latency_p95_seconds_median,depletion_safe_hold_steps_sum,disconnects_sum,dropped_prefix_steps_sum,environment_steps_per_second_mean,episodes,fallback_activations_sum,fallback_chunks_accepted_sum,gpu_generated_actions_per_second_p50_median,hold_steps_sum,inference_latency_p50_seconds_median,inference_latency_p95_seconds_median,mean_environment_steps,model,peak_cuda_memory_mib_max,queue_age_p50_steps_median,queue_age_p95_steps_median,queue_depth_p50_steps_median,queue_depth_p95_steps_median,recoveries_sum,runtime,split,success_rate,successes
,2.1888019594611072,burst_0250_to1800_canary,0.6082807420752943,2.2427029612474145,,,722.0,19.312958465833297,1,,,164.10334397485332,2.0,0.3046860520262271,0.3640485134441405,300.0,smolvla,933.728515625,,,,,,lerobot_latest_only,canary,0.0,0
,1.7106351044321015,fixed_0000,0.3068540629465133,0.5589815030107275,,,76.0,18.97249843097422,1,,,205.71135098157941,0.0,0.24305902305059135,0.35459698096383363,122.0,smolvla,933.728515625,,,,,,lerobot_latest_only,canary,1.0,1
,3.6357923629528432,fixed_0950,1.208735981490463,1.2416201850981452,,,1260.0,18.487079811624625,1,,,217.10229063297734,1.0,0.2303061835700646,0.24185247685527428,300.0,smolvla,933.728515625,,,,,,lerobot_latest_only,canary,0.0,0
,2.5874307227350135,burst_0250_to1800_canary,0.6742939378600568,2.242852858314291,,,678.0,19.4057304205126,1,,,150.50292313593545,7.0,0.33221946097910404,0.4131639837985858,300.0,smolvla,1471.6044921875,,,,,,lerobot_rtc,canary,0.0,0
,1.6469479722719662,fixed_0000,0.44962329999543726,0.6834190478548408,,,203.0,19.763375667263595,1,,,144.09701541412446,0.0,0.34698844980448484,0.4981340690981595,300.0,smolvla,1471.6044921875,,,,,,lerobot_rtc,canary,0.0,0
,2.751233433663852,fixed_0950,1.314800534863025,1.3855960499495268,,,1079.0,18.34155622442568,1,,,151.8942676061019,6.0,0.3291763460729271,0.41656505805440247,300.0,smolvla,1471.6044921875,,,,,,lerobot_rtc,canary,0.0,0
,0.2860538979863447,burst_0250_to1800_canary,0.48831515305209905,2.1553561808541417,,,0.0,14.302694899317233,1,,,239.52241300894354,0.0,0.20874873199500144,0.21153679100098088,300.0,smolvla,933.728515625,,,,,,sync_hold,canary,0.0,0
,0.3691165600231515,fixed_0000,0.21475534257479012,0.22217212250689045,,,0.0,18.455828001157574,1,,,241.04544830136305,0.0,0.2074297621147707,0.21443638834170997,300.0,smolvla,925.603515625,,,,,,sync_hold,canary,0.0,0
,0.27332973533401367,fixed_0950,1.1628158170497045,1.167985741281882,,,0.0,13.666486766700684,1,,,242.35819007313134,0.0,0.2063062114175409,0.21074952522758394,300.0,smolvla,933.728515625,,,,,,sync_hold,canary,0.0,0
12.0,0.8470996189075043,burst_0250_to1800_canary,0.4601951059885323,3.463704265141855,147.0,3.0,398.0,10.973551532562645,3,0.0,0.0,189.56015036970115,159.0,0.1582611110061407,2.2705403923056946,159.33333333333334,xvla,12258.9501953125,14.0,27.349999999999994,11.5,23.0,3.0,actionstream_backend_aligned,canary,1.0,3
0.0,1.1829365462364585,disconnect_recovery_canary,0.4400124124949798,1.8461253487621434,0.0,6.0,357.0,9.894140231429304,3,0.0,0.0,172.23274326937567,0.0,0.17418290756177157,1.5816196812666021,125.66666666666667,xvla,12258.9501953125,13.0,18.0,17.0,23.44999999999999,6.0,actionstream_backend_aligned,canary,1.0,3
0.0,6.099729882807402,fixed_0000,0.09397763048764318,0.12244727907236667,0.0,3.0,496.0,11.831317230975166,3,0.0,0.0,352.03234672140485,0.0,0.08521944156382233,0.10894117940915747,169.33333333333334,xvla,12258.9501953125,3.0,4.0,28.0,29.0,3.0,actionstream_backend_aligned,canary,1.0,3
60.0,0.6071828896761811,fixed_0950,1.1229517755564302,2.492952727712691,403.0,3.0,753.0,12.005831176922163,3,0.0,0.0,189.25313683055236,463.0,0.15851784811820835,1.5251800020341761,257.6666666666667,xvla,12258.9501953125,25.0,29.39999999999999,0.0,15.050000000000011,3.0,actionstream_backend_aligned,canary,0.3333333333333333,1
18.0,0.9629117611228494,burst_0250_to1800_canary,0.4606188340112567,2.216059166495691,121.0,3.0,319.0,12.575138741659247,3,8.0,8.0,194.44708027672414,139.0,0.15428362286183983,0.5307969343382903,223.0,xvla,12258.9501953125,15.0,43.0,15.0,27.05000000000001,3.0,actionstream_backend_guarded,canary,0.6666666666666666,2
0.0,1.2583034768460506,disconnect_recovery_canary,0.41686947899870574,1.2677860163850636,0.0,6.0,359.0,9.929355907244226,3,0.0,0.0,197.97775344612404,0.0,0.15153217711485922,1.00061043777968,126.33333333333333,xvla,12258.9501953125,12.0,17.0,18.0,23.44999999999999,6.0,actionstream_backend_guarded,canary,1.0,3
0.0,6.055169308544222,fixed_0000,0.09275651909410954,0.13434812068007884,0.0,3.0,477.0,11.802451194160048,3,0.0,0.0,355.3914517844455,0.0,0.08441396057605743,0.12318101911805569,162.0,xvla,12258.9501953125,3.0,4.0,28.0,29.0,3.0,actionstream_backend_guarded,canary,1.0,3
62.0,0.6108243419652738,fixed_0950,1.1223775619873777,2.4626187097164802,392.0,3.0,746.0,12.015279511414876,3,0.0,0.0,186.0431704054011,454.0,0.16125289595220238,1.4993885776493698,256.6666666666667,xvla,12258.9501953125,25.0,30.0,0.0,15.050000000000011,3.0,actionstream_backend_guarded,canary,0.3333333333333333,1
,4.005598354355595,burst_0250_to1800_canary,0.4194604568183422,1.9143976195016874,,,1833.0,12.131658815621606,3,,,346.3928720713342,52.0,0.08660686295479536,0.13388569266535338,172.33333333333334,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,3
,1.670978152325346,fixed_0000,0.16083137202076614,0.7730328153585903,,,212.0,10.41493800442124,3,,,259.43971833584146,0.0,0.115633798064664,0.6974556697765251,118.33333333333333,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,3
,5.190256059454493,fixed_0950,1.0696841240860522,1.1160389177501202,,,2690.0,11.029695579290497,3,,,356.6378534485875,23.0,0.0841189450584352,0.14137451106216758,158.0,xvla,12258.9501953125,,,,,,lerobot_latest_only,canary,1.0,3
,3.836791605505288,burst_0250_to1800_canary,0.41457245708443224,2.05240657532122,,,2117.0,12.238631352478288,3,,,309.54322886388024,58.0,0.09691699640825391,0.14656140911392868,196.33333333333334,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,0.6666666666666666,2
,1.6773091363838797,fixed_0000,0.14725503092631698,0.5646264357259535,,,201.0,10.418624476313548,3,,,300.07098154518553,0.0,0.09997634508181363,0.4364642944536211,120.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,1.0,3
,4.561758000790079,fixed_0950,1.0788991084555164,1.154920677805785,,,2329.0,11.042457839731114,3,,,347.76767217925357,26.0,0.08626448747236282,0.16034657543059427,163.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,1.0,3
,0.5360172950313501,burst_0250_to1800_canary,0.32311271445360035,1.53572772112675,,,0.0,14.179386198973882,3,,,322.05240297893465,0.0,0.09315254201646894,0.10207268240628764,115.66666666666667,xvla,3528.9501953125,,,,,,sync_hold,canary,1.0,3
,0.7042799624036661,fixed_0000,0.09889484546147287,0.10649304991820827,,,0.0,18.720151910240997,3,,,331.5375949204379,0.0,0.09048747550696135,0.09791549646761268,115.66666666666667,xvla,3520.8251953125,,,,,,sync_hold,canary,1.0,3
,0.42132575483642604,fixed_0950,1.0493791929911822,1.0595033777644858,,,0.0,11.218891708730403,3,,,327.746734838354,0.0,0.09153409267310053,0.10201959923142567,115.66666666666667,xvla,3528.9501953125,,,,,,sync_hold,canary,1.0,3
37.0,0.9981465373934401,burst_0250_to2000_holdout,0.46505618293303996,3.2736373225925477,731.0,15.0,2393.0,11.705590783700897,15,0.0,0.0,169.8573774913929,768.0,0.17661876359488815,2.025733090413267,186.06666666666666,xvla,12258.9501953125,14.0,25.099999999999994,14.0,23.0,15.0,actionstream_backend_aligned,holdout,0.8666666666666667,13
0.0,6.2747364970394,fixed_0000,0.09430683508981019,0.13968580105574802,0.0,15.0,2735.0,12.248226653758222,15,0.0,0.0,351.382382169525,0.0,0.08537707501091063,0.12639794036513194,184.93333333333334,xvla,12258.9501953125,3.0,5.0,28.0,29.0,15.0,actionstream_backend_aligned,holdout,0.8,12
0.0,1.287204642167065,fixed_0250,0.43160264508333057,1.537984116468575,0.0,15.0,2142.0,10.571895380118782,15,0.0,0.0,181.7702859328043,0.0,0.16504347696900368,1.2685332798398996,149.0,xvla,12258.9501953125,13.0,18.0,18.0,23.349999999999994,15.0,actionstream_backend_aligned,holdout,0.8666666666666667,13
241.0,0.557882074077049,fixed_0950,1.147651442559436,3.986884695431212,1628.0,15.0,2942.0,10.914946554499334,15,0.0,0.0,165.4032450330404,1869.0,0.18137491797097027,3.0238901821779964,206.8,xvla,12258.9501953125,25.0,29.200000000000003,0.0,21.299999999999983,15.0,actionstream_backend_aligned,holdout,0.6666666666666666,10
108.0,0.7157002391119075,jitter_0600_pm0400_holdout,0.8445600559934974,3.608210862032138,344.0,15.0,2026.0,9.910584577991246,15,0.0,0.0,172.5172230838457,452.0,0.17389568104408681,2.777363040484488,144.86666666666667,xvla,12258.9501953125,21.0,29.0,9.0,23.349999999999994,15.0,actionstream_backend_aligned,holdout,0.9333333333333333,14
62.0,1.0747410376729387,burst_0250_to2000_holdout,0.46943495492450893,2.1804182462394235,454.0,15.0,2133.0,12.734216851870524,15,31.0,31.0,163.60290952486994,516.0,0.1833708219928667,0.30371324976440517,232.6,xvla,12258.9501953125,15.0,56.04999999999998,16.0,27.0,15.0,actionstream_backend_guarded,holdout,0.5333333333333333,8
