ci95_high,ci95_low,delay_profile,estimate_mean,estimate_runtime,metric,model,paired_episode_count,paired_mean_difference,paired_relative_difference_percent,reference_mean,reference_runtime,split
0.0,0.0,burst_0250_to1800_canary,0.0,lerobot_rtc,success,smolvla,1,0.0,,0.0,lerobot_latest_only,canary
0.0,0.0,burst_0250_to1800_canary,300.0,lerobot_rtc,environment_steps,smolvla,1,0.0,0.0,300.0,lerobot_latest_only,canary
0.0,0.0,burst_0250_to1800_canary,0.0,sync_hold,success,smolvla,1,0.0,,0.0,lerobot_latest_only,canary
0.0,0.0,burst_0250_to1800_canary,300.0,sync_hold,environment_steps,smolvla,1,0.0,0.0,300.0,lerobot_latest_only,canary
-1.0,-1.0,fixed_0000,0.0,lerobot_rtc,success,smolvla,1,-1.0,-100.0,1.0,lerobot_latest_only,canary
178.0,178.0,fixed_0000,300.0,lerobot_rtc,environment_steps,smolvla,1,178.0,145.9016393442623,122.0,lerobot_latest_only,canary
-1.0,-1.0,fixed_0000,0.0,sync_hold,success,smolvla,1,-1.0,-100.0,1.0,lerobot_latest_only,canary
178.0,178.0,fixed_0000,300.0,sync_hold,environment_steps,smolvla,1,178.0,145.9016393442623,122.0,lerobot_latest_only,canary
0.0,0.0,fixed_0950,0.0,lerobot_rtc,success,smolvla,1,0.0,,0.0,lerobot_latest_only,canary
0.0,0.0,fixed_0950,300.0,lerobot_rtc,environment_steps,smolvla,1,0.0,0.0,300.0,lerobot_latest_only,canary
0.0,0.0,fixed_0950,0.0,sync_hold,success,smolvla,1,0.0,,0.0,lerobot_latest_only,canary
0.0,0.0,fixed_0950,300.0,sync_hold,environment_steps,smolvla,1,0.0,0.0,300.0,lerobot_latest_only,canary
0.0,0.0,burst_0250_to1800_canary,1.0,actionstream_backend_aligned,success,xvla,3,0.0,0.0,1.0,lerobot_latest_only,canary
0.0,-27.0,burst_0250_to1800_canary,159.33333333333334,actionstream_backend_aligned,environment_steps,xvla,3,-13.0,-7.3947203016970455,172.33333333333334,lerobot_latest_only,canary
0.0,-1.0,burst_0250_to1800_canary,0.6666666666666666,actionstream_backend_guarded,success,xvla,3,-0.3333333333333333,-33.33333333333333,1.0,lerobot_latest_only,canary
115.0,-16.0,burst_0250_to1800_canary,223.0,actionstream_backend_guarded,environment_steps,xvla,3,50.666666666666664,28.661612193588937,172.33333333333334,lerobot_latest_only,canary
0.0,-1.0,burst_0250_to1800_canary,0.6666666666666666,lerobot_weighted_average,success,xvla,3,-0.3333333333333333,-33.33333333333333,1.0,lerobot_latest_only,canary
