episodes,inference_latency_p50_seconds_median,inference_latency_p95_seconds_median,mean_environment_steps,peak_cuda_memory_mib_max,stage,states,success_rate,successes,suite,task_id
1,0.2024579499848187,0.6192030000966042,300.0,925.603515625,v2_development,36,0.0,0,libero_goal,0
1,0.17704003502149135,0.1852076096809469,92.0,925.603515625,v2_development,36,1.0,1,libero_goal,1
1,0.20709564036224037,0.20907793731894345,178.0,925.603515625,v2_development,36,1.0,1,libero_goal,3
1,0.1844478459097445,0.1980313559761271,86.0,925.603515625,v2_development,36,1.0,1,libero_goal,4
1,0.1974812711123377,0.19808115072082727,137.0,925.603515625,v2_development,36,1.0,1,libero_goal,5
1,0.18293334206100553,0.19601244438672438,90.0,925.603515625,v2_development,36,1.0,1,libero_goal,6
1,0.18504892801865935,0.20302387557458132,96.0,925.603515625,v2_development,36,1.0,1,libero_goal,7
1,0.18131119094323367,0.1927132900687866,79.0,925.603515625,v2_development,36,1.0,1,libero_goal,8
1,0.20503711642231792,0.20953349868068472,300.0,925.603515625,v2_development,36,0.0,0,libero_goal,9
1,0.2004410750232637,0.7308101047063246,138.0,925.603515625,v2_development,36,1.0,1,libero_object,0
1,0.20436986000277102,0.20958514322992414,119.0,925.603515625,v2_development,36,1.0,1,libero_object,1
1,0.20424387813545763,0.20667044727597386,112.0,925.603515625,v2_development,36,1.0,1,libero_object,2
1,0.20990898204036057,0.21526798703707756,122.0,925.603515625,v2_development,36,1.0,1,libero_object,3
1,0.204800354084,0.20644838628359138,135.0,925.603515625,v2_development,36,1.0,1,libero_object,4
1,0.20561716286465526,0.21167906797491015,150.0,925.603515625,v2_development,36,1.0,1,libero_object,6
1,0.21028777910396457,0.21271023692097515,123.0,925.603515625,v2_development,36,1.0,1,libero_object,7
1,0.18847528006881475,0.23773060953244565,150.0,925.603515625,v2_development,36,1.0,1,libero_object,8
1,0.2095772980246693,0.21372194022405894,118.0,925.603515625,v2_development,36,1.0,1,libero_object,9
1,0.4783419705927372,0.7342487486544996,74.0,925.603515625,v2_development,36,1.0,1,libero_spatial,0
1,0.19729019654914737,0.2021928612375632,300.0,925.603515625,v2_development,36,0.0,0,libero_spatial,1
1,0.18370342790149152,0.19284249416086824,95.0,925.603515625,v2_development,36,1.0,1,libero_spatial,2
1,0.19130448601208627,0.1919782942859456,300.0,925.603515625,v2_development,36,0.0,0,libero_spatial,3
1,0.19019151502288878,0.19161559693748131,151.0,925.603515625,v2_development,36,1.0,1,libero_spatial,4
1,0.20016557502094656,0.20539624022785574,300.0,925.603515625,v2_development,36,0.0,0,libero_spatial,5
1,0.19227433996275067,0.19778084235731513,101.0,925.603515625,v2_development,36,1.0,1,libero_spatial,6
1,0.18020124861504883,0.18939852457260714,92.0,925.603515625,v2_development,36,1.0,1,libero_spatial,8
1,0.16997124603949487,0.18781503923237325,119.0,925.603515625,v2_development,36,1.0,1,libero_spatial,9
2,0.20793324644910172,0.41006542739341967,300.0,925.603515625,v3_development,"37,39",0.0,0,libero_goal,3
2,0.20388495520455763,0.21694146100780926,192.5,925.603515625,v3_development,"37,39",0.5,1,libero_goal,4
2,0.20459942508023232,0.20699869939126075,122.5,925.603515625,v3_development,"37,39",1.0,2,libero_goal,5
2,0.20279156044125557,0.20519803406205028,300.0,925.603515625,v3_development,"37,39",0.0,0,libero_goal,6
2,0.18914576154202223,0.2058154953760095,72.0,925.603515625,v3_development,"37,39",1.0,2,libero_goal,7
2,0.19402432203060016,0.20413832728518172,190.5,925.603515625,v3_development,"37,39",0.5,1,libero_goal,8
