runtime,profile,suite,failures
actionstream_backend_aligned,burst_0250_to2000_v2,libero_goal,2
actionstream_backend_aligned,fixed_0000,libero_spatial,1
actionstream_backend_aligned,fixed_0950,libero_goal,2
actionstream_backend_aligned,fixed_0950,libero_object,2
actionstream_backend_guarded,burst_0250_to2000_v2,libero_goal,2
actionstream_backend_guarded,burst_0250_to2000_v2,libero_object,2
actionstream_backend_guarded,burst_0250_to2000_v2,libero_spatial,3
actionstream_backend_guarded,fixed_0000,libero_spatial,1
actionstream_backend_guarded,fixed_0950,libero_goal,3
actionstream_backend_guarded,fixed_0950,libero_spatial,1
lerobot_latest_only,burst_0250_to2000_v2,libero_goal,1
lerobot_weighted_average,burst_0250_to2000_v2,libero_goal,1
lerobot_weighted_average,burst_0250_to2000_v2,libero_object,3
lerobot_weighted_average,burst_0250_to2000_v2,libero_spatial,1
lerobot_weighted_average,fixed_0000,libero_object,1
lerobot_weighted_average,fixed_0000,libero_spatial,1
lerobot_weighted_average,fixed_0250,libero_object,1
lerobot_weighted_average,fixed_0250,libero_spatial,1
lerobot_weighted_average,fixed_0950,libero_object,2
lerobot_weighted_average,jitter_0600_pm0400_v2,libero_object,1
lerobot_weighted_average,jitter_0600_pm0400_v2,libero_spatial,1
