profile,runtime,episodes,successes,success_rate,environment_steps_mean,steady_inference_p50_seconds_mean,steady_inference_p95_seconds_mean,request_per_second_mean,queue_age_p95_steps_mean,discard_total,depletion_total,fallback_total
fixed_0000,sync_hold,9,9,1.0,114.22222222222223,0.09592136983863181,0.10490703586514832,0.7219078237932691,,0,0,0
fixed_0000,lerobot_weighted_average,9,7,0.7777777777777778,159.22222222222223,0.1240645752210791,0.1653622062010173,3.1355510530159862,,944,0,0
fixed_0000,lerobot_latest_only,9,9,1.0,117.77777777777777,0.12507327724920791,0.18342347365364223,3.0566460589995303,,662,0,0
fixed_0000,actionstream_backend_aligned,9,8,0.8888888888888888,168.66666666666666,0.08105747049881352,0.11981774251261311,10.305689914827976,4.861111111111108,1487,0,0
fixed_0000,actionstream_backend_guarded,9,8,0.8888888888888888,167.55555555555554,0.0829771837969828,0.12284229490517945,10.212620932718195,4.916666666666667,1481,0,0
fixed_0250,sync_hold,9,9,1.0,114.22222222222223,0.09439919405202898,0.10420158899182247,0.611462764030836,,0,0,0
fixed_0250,lerobot_weighted_average,9,7,0.7777777777777778,154.33333333333334,0.11521514122270876,0.16401351498983177,3.7268718050028133,,2163,0,0
fixed_0250,lerobot_latest_only,9,9,1.0,115.66666666666667,0.11346498083892381,0.16873023440130053,3.528300581525322,,1571,0,0
fixed_0250,actionstream_backend_aligned,9,9,1.0,120.33333333333333,0.14897747644378492,0.2277189627444992,2.339937516877545,16.938888888888886,1036,0,0
fixed_0250,actionstream_backend_guarded,9,9,1.0,120.88888888888889,0.15314411349956775,0.24489624290985773,2.29796297353769,17.555555555555557,1035,0,0
fixed_0950,sync_hold,9,9,1.0,114.22222222222223,0.09418919308680213,0.10293068840013196,0.42778077877561344,,0,0,0
fixed_0950,lerobot_weighted_average,9,7,0.7777777777777778,185.0,0.08812273155328715,0.14049337755423041,7.303927143297563,,8171,0,0
fixed_0950,lerobot_latest_only,9,9,1.0,152.0,0.08748607459064159,0.1333179314297417,7.512208251815013,,7020,0,0
fixed_0950,actionstream_backend_aligned,9,5,0.5555555555555556,214.88888888888889,0.15718465661888736,0.24681506957212043,0.875214591191231,29.200000000000003,1841,1002,0
fixed_0950,actionstream_backend_guarded,9,5,0.5555555555555556,223.88888888888889,0.159179691833237,0.24755471651183644,0.8755512359188714,29.238888888888887,1943,1039,0
jitter_0600_pm0400_v2,sync_hold,9,9,1.0,114.22222222222223,0.09742435379626437,0.1059492003935803,0.4923107943556562,,0,0,0
jitter_0600_pm0400_v2,lerobot_weighted_average,9,7,0.7777777777777778,164.88888888888889,0.09637612724004106,0.14498968289570052,5.9347249394358546,,6568,0,0
jitter_0600_pm0400_v2,lerobot_latest_only,9,9,1.0,133.88888888888889,0.09509648805639397,0.14984466578656186,5.4801929720446845,,4152,0,0
jitter_0600_pm0400_v2,actionstream_backend_aligned,9,9,1.0,121.44444444444444,0.1593360271330716,0.2435314679324316,1.2188873555473796,29.0,1037,119,0
jitter_0600_pm0400_v2,actionstream_backend_guarded,9,9,1.0,122.33333333333333,0.1488276568836429,0.2487710531464674,1.229622386755394,28.688888888888886,1035,110,0
burst_0250_to2000_v2,sync_hold,9,9,1.0,114.22222222222223,0.0944812892185938,0.10544424971384514,0.47430963624324335,,0,0,0
burst_0250_to2000_v2,lerobot_weighted_average,9,4,0.4444444444444444,243.22222222222223,0.10234107183189028,0.15969880231035252,5.020948238120555,,5209,0,0
burst_0250_to2000_v2,lerobot_latest_only,9,8,0.8888888888888888,184.33333333333334,0.09628474110892664,0.14789734221089423,5.107271313271793,,4241,0,0
burst_0250_to2000_v2,actionstream_backend_aligned,9,7,0.7777777777777778,181.88888888888889,0.155829134513624,0.2471523842696721,1.4602816692021103,24.34444444444444,1397,316,0
burst_0250_to2000_v2,actionstream_backend_guarded,9,2,0.2222222222222222,267.3333333333333,0.158328014658764,0.23998449548639147,1.444284946098584,43.36111111111111,1463,304,21
