contrast,profile,candidate,reference,paired_n,success_difference,success_ci95_low,success_ci95_high,environment_steps_difference,steps_ci95_low,steps_ci95_high
primary,fixed_0000,actionstream_backend_aligned,lerobot_latest_only,9,-0.1111111111111111,-0.3333333333333333,0.0,50.888888888888886,31.666666666666668,81.22222222222223
secondary,fixed_0000,actionstream_backend_aligned,lerobot_weighted_average,9,0.1111111111111111,-0.2222222222222222,0.4444444444444444,9.444444444444445,-49.22222222222222,66.0
primary,fixed_0250,actionstream_backend_aligned,lerobot_latest_only,9,0.0,0.0,0.0,4.666666666666667,2.888888888888889,6.333333333333333
secondary,fixed_0250,actionstream_backend_aligned,lerobot_weighted_average,9,0.2222222222222222,0.0,0.5555555555555556,-34.0,-89.44444444444444,5.555555555555555
primary,fixed_0950,actionstream_backend_aligned,lerobot_latest_only,9,-0.4444444444444444,-0.7777777777777778,-0.1111111111111111,62.888888888888886,5.111111111111111,122.44444444444444
secondary,fixed_0950,actionstream_backend_aligned,lerobot_weighted_average,9,-0.2222222222222222,-0.5555555555555556,0.0,29.88888888888889,-20.555555555555557,98.0
primary,jitter_0600_pm0400_v2,actionstream_backend_aligned,lerobot_latest_only,9,0.0,0.0,0.0,-12.444444444444445,-22.22222222222222,-2.111111111111111
secondary,jitter_0600_pm0400_v2,actionstream_backend_aligned,lerobot_weighted_average,9,0.2222222222222222,0.0,0.5555555555555556,-43.44444444444444,-92.33333333333333,-7.111111111111111
primary,burst_0250_to2000_v2,actionstream_backend_aligned,lerobot_latest_only,9,-0.1111111111111111,-0.4444444444444444,0.2222222222222222,-2.4444444444444446,-57.55555555555556,56.55555555555556
secondary,burst_0250_to2000_v2,actionstream_backend_aligned,lerobot_weighted_average,9,0.3333333333333333,-0.2222222222222222,0.7777777777777778,-61.333333333333336,-134.22222222222223,27.555555555555557
