family,suite,runtime,category,count,scope
object,libero_object,actionstream_backend_aligned,unsuccessful_episode,0,outcome
object,libero_object,actionstream_backend_aligned,queue_depletion_exposure,5,mechanism_event
object,libero_object,actionstream_backend_aligned,inference_error,0,mechanism_event
object,libero_object,actionstream_backend_aligned,inference_timeout,0,mechanism_event
object,libero_object,actionstream_backend_aligned,out_of_order_rejection,0,mechanism_event
object,libero_object,actionstream_backend_aligned,fallback_activation,0,mechanism_event
object,libero_object,actionstream_backend_pipelined_aligned,unsuccessful_episode,2,outcome
object,libero_object,actionstream_backend_pipelined_aligned,queue_depletion_exposure,0,mechanism_event
object,libero_object,actionstream_backend_pipelined_aligned,inference_error,0,mechanism_event
object,libero_object,actionstream_backend_pipelined_aligned,inference_timeout,0,mechanism_event
object,libero_object,actionstream_backend_pipelined_aligned,out_of_order_rejection,0,mechanism_event
object,libero_object,actionstream_backend_pipelined_aligned,fallback_activation,0,mechanism_event
spatial,libero_spatial,actionstream_backend_aligned,unsuccessful_episode,2,outcome
spatial,libero_spatial,actionstream_backend_aligned,queue_depletion_exposure,5,mechanism_event
spatial,libero_spatial,actionstream_backend_aligned,inference_error,0,mechanism_event
spatial,libero_spatial,actionstream_backend_aligned,inference_timeout,0,mechanism_event
spatial,libero_spatial,actionstream_backend_aligned,out_of_order_rejection,0,mechanism_event
spatial,libero_spatial,actionstream_backend_aligned,fallback_activation,0,mechanism_event
spatial,libero_spatial,actionstream_backend_pipelined_aligned,unsuccessful_episode,0,outcome
spatial,libero_spatial,actionstream_backend_pipelined_aligned,queue_depletion_exposure,0,mechanism_event
spatial,libero_spatial,actionstream_backend_pipelined_aligned,inference_error,0,mechanism_event
spatial,libero_spatial,actionstream_backend_pipelined_aligned,inference_timeout,0,mechanism_event
spatial,libero_spatial,actionstream_backend_pipelined_aligned,out_of_order_rejection,0,mechanism_event
spatial,libero_spatial,actionstream_backend_pipelined_aligned,fallback_activation,0,mechanism_event
goal,libero_goal,actionstream_backend_aligned,unsuccessful_episode,3,outcome
goal,libero_goal,actionstream_backend_aligned,queue_depletion_exposure,5,mechanism_event
goal,libero_goal,actionstream_backend_aligned,inference_error,0,mechanism_event
goal,libero_goal,actionstream_backend_aligned,inference_timeout,0,mechanism_event
goal,libero_goal,actionstream_backend_aligned,out_of_order_rejection,0,mechanism_event
goal,libero_goal,actionstream_backend_aligned,fallback_activation,0,mechanism_event
goal,libero_goal,actionstream_backend_pipelined_aligned,unsuccessful_episode,0,outcome
goal,libero_goal,actionstream_backend_pipelined_aligned,queue_depletion_exposure,0,mechanism_event
goal,libero_goal,actionstream_backend_pipelined_aligned,inference_error,0,mechanism_event
goal,libero_goal,actionstream_backend_pipelined_aligned,inference_timeout,0,mechanism_event
goal,libero_goal,actionstream_backend_pipelined_aligned,out_of_order_rejection,0,mechanism_event
goal,libero_goal,actionstream_backend_pipelined_aligned,fallback_activation,0,mechanism_event
