run_id,family,suite,task_id,state,seed,condition,classification,success,steps,completion_steps_failure300,wall_s,startup_deadlines,steady_deadlines,transport_errors,server_errors,connections,reconnections,server_pid,executor_starts
1,Object,libero_object,5,25,2026091725,tcp_no_injected_fault,VALID_POSITIVE,True,178,178,19.5345924384892,0,0,0,0,1,0,45411,1
2,Object,libero_object,5,26,2026091726,tcp_no_injected_fault,VALID_POSITIVE,True,163,163,19.05121397972107,0,0,0,0,1,0,47169,1
3,Object,libero_object,5,27,2026091727,tcp_no_injected_fault,VALID_POSITIVE,True,162,162,18.5936379134655,0,0,0,0,1,0,47915,1
4,Object,libero_object,5,28,2026091728,tcp_no_injected_fault,VALID_POSITIVE,True,163,163,18.53796274960041,0,0,0,0,1,0,48672,1
5,Object,libero_object,5,29,2026091729,tcp_no_injected_fault,VALID_POSITIVE,True,169,169,18.78177697584033,0,0,0,0,1,0,51145,1
6,Spatial,libero_spatial,7,25,2026091725,tcp_no_injected_fault,VALID_POSITIVE,True,224,224,22.17048019915819,0,0,0,0,1,0,51887,1
7,Spatial,libero_spatial,7,26,2026091726,tcp_no_injected_fault,VALID_POSITIVE,True,193,193,20.957258190959692,0,0,0,0,1,0,52641,1
8,Spatial,libero_spatial,7,27,2026091727,tcp_no_injected_fault,VALID_POSITIVE,False,300,300,25.92024425789714,0,0,0,0,1,0,53399,1
9,Spatial,libero_spatial,7,28,2026091728,tcp_no_injected_fault,VALID_POSITIVE,False,300,300,26.43118040636182,0,0,0,0,1,0,54161,1
10,Spatial,libero_spatial,7,29,2026091729,tcp_no_injected_fault,VALID_POSITIVE,True,201,201,20.999301876872778,0,0,0,0,1,0,54937,1
11,Goal,libero_goal,2,25,2026091725,tcp_no_injected_fault,VALID_POSITIVE,True,125,125,16.70915897190571,0,0,0,0,1,0,55679,1
12,Goal,libero_goal,2,26,2026091726,tcp_no_injected_fault,VALID_POSITIVE,True,129,129,17.113458197563887,0,0,0,0,1,0,56416,1
13,Goal,libero_goal,2,27,2026091727,tcp_no_injected_fault,VALID_POSITIVE,True,173,173,19.200950227677822,0,0,0,0,1,0,57153,1
14,Goal,libero_goal,2,28,2026091728,tcp_no_injected_fault,VALID_POSITIVE,True,134,134,17.05947119370103,0,0,0,0,1,0,57889,1
15,Goal,libero_goal,2,29,2026091729,tcp_no_injected_fault,VALID_POSITIVE,True,118,118,16.32765306159854,0,0,0,0,1,0,58625,1
16,Object,libero_object,5,25,2026091725,application_delivery_jitter_50ms,VALID_POSITIVE,True,165,165,18.90388934314251,0,0,0,0,1,0,59362,1
17,Object,libero_object,5,25,2026091725,application_delivery_jitter_250ms,VALID_POSITIVE,True,146,146,17.85043553262949,0,0,0,0,1,0,60106,1
18,Object,libero_object,5,25,2026091725,application_delivery_jitter_950ms,VALID_POSITIVE,True,127,127,19.656637478619814,0,0,0,0,1,0,60847,1
19,Object,libero_object,5,25,2026091725,periodic_pre_inference_disconnect,VALID_POSITIVE,True,174,174,19.439566288143396,0,0,11,0,12,11,61595,1
20,Object,libero_object,5,26,2026091726,application_delivery_jitter_50ms,VALID_POSITIVE,True,156,156,18.239886820316315,0,0,0,0,1,0,62351,1
21,Object,libero_object,5,26,2026091726,application_delivery_jitter_250ms,VALID_POSITIVE,True,137,137,17.56596802547574,0,0,0,0,1,0,63078,1
22,Object,libero_object,5,26,2026091726,application_delivery_jitter_950ms,VALID_POSITIVE,True,130,130,19.46947918459773,0,0,0,0,1,0,63820,1
23,Object,libero_object,5,26,2026091726,periodic_pre_inference_disconnect,VALID_NEGATIVE,True,165,165,18.58119175210595,0,0,11,0,12,11,64580,1
24,Object,libero_object,5,27,2026091727,application_delivery_jitter_50ms,VALID_POSITIVE,True,145,145,17.763424288481474,0,0,0,0,1,0,65334,1
25,Object,libero_object,5,27,2026091727,application_delivery_jitter_250ms,VALID_POSITIVE,True,131,131,17.345554865896702,0,0,0,0,1,0,66068,1
26,Object,libero_object,5,27,2026091727,application_delivery_jitter_950ms,VALID_POSITIVE,True,112,112,18.6449530236423,0,0,0,0,1,0,66790,1
27,Object,libero_object,5,27,2026091727,periodic_pre_inference_disconnect,VALID_POSITIVE,True,151,151,18.216978199779987,0,0,10,0,11,10,67526,1
28,Spatial,libero_spatial,7,25,2026091725,application_delivery_jitter_50ms,VALID_POSITIVE,True,169,169,19.346629988402128,0,0,0,0,1,0,68286,1
29,Spatial,libero_spatial,7,25,2026091725,application_delivery_jitter_250ms,VALID_POSITIVE,True,132,132,17.555434562265873,0,0,0,0,1,0,69025,1
30,Spatial,libero_spatial,7,25,2026091725,application_delivery_jitter_950ms,VALID_POSITIVE,True,122,122,19.310062915086746,0,0,0,0,1,0,69752,1
31,Spatial,libero_spatial,7,25,2026091725,periodic_pre_inference_disconnect,VALID_POSITIVE,True,214,214,21.35743123665452,0,0,14,0,15,14,70490,1
32,Spatial,libero_spatial,7,26,2026091726,application_delivery_jitter_50ms,VALID_POSITIVE,True,162,162,18.855131071060896,0,0,0,0,1,0,71270,1
33,Spatial,libero_spatial,7,26,2026091726,application_delivery_jitter_250ms,VALID_POSITIVE,True,135,135,18.33570120111108,0,0,0,0,1,0,72010,1
34,Spatial,libero_spatial,7,26,2026091726,application_delivery_jitter_950ms,VALID_POSITIVE,True,120,120,19.37510882690549,0,0,0,0,1,0,72740,1
35,Spatial,libero_spatial,7,26,2026091726,periodic_pre_inference_disconnect,VALID_POSITIVE,True,175,175,19.75201142579317,0,0,11,0,12,11,73526,1
36,Spatial,libero_spatial,7,27,2026091727,application_delivery_jitter_50ms,VALID_POSITIVE,False,300,300,25.8746873550117,0,0,0,0,1,0,74279,1
37,Spatial,libero_spatial,7,27,2026091727,application_delivery_jitter_250ms,VALID_POSITIVE,True,149,149,18.075255308300257,0,0,0,0,1,0,75041,1
38,Spatial,libero_spatial,7,27,2026091727,application_delivery_jitter_950ms,VALID_POSITIVE,True,134,134,20.261030830442905,0,0,0,0,1,0,75773,1
39,Spatial,libero_spatial,7,27,2026091727,periodic_pre_inference_disconnect,VALID_NEGATIVE,False,300,300,25.905743308365345,0,0,20,0,20,19,76513,1
40,Goal,libero_goal,2,25,2026091725,application_delivery_jitter_50ms,VALID_POSITIVE,True,110,110,15.802659198641777,0,0,0,0,1,0,77298,1
41,Goal,libero_goal,2,25,2026091725,application_delivery_jitter_250ms,VALID_POSITIVE,True,92,92,15.210945814847946,0,0,0,0,1,0,78022,1
42,Goal,libero_goal,2,25,2026091725,application_delivery_jitter_950ms,VALID_POSITIVE,True,86,86,16.223584700375795,0,0,0,0,1,0,78743,1
43,Goal,libero_goal,2,25,2026091725,periodic_pre_inference_disconnect,VALID_POSITIVE,True,119,119,15.832253586500883,0,0,7,0,8,7,79465,1
44,Goal,libero_goal,2,26,2026091726,application_delivery_jitter_50ms,VALID_POSITIVE,True,117,117,15.974619060754776,0,0,0,0,1,0,80202,1
45,Goal,libero_goal,2,26,2026091726,application_delivery_jitter_250ms,VALID_POSITIVE,True,98,98,15.456707801669836,0,0,0,0,1,0,80940,1
46,Goal,libero_goal,2,26,2026091726,application_delivery_jitter_950ms,VALID_POSITIVE,True,92,92,16.660391721874475,0,0,0,0,1,0,81670,1
47,Goal,libero_goal,2,26,2026091726,periodic_pre_inference_disconnect,VALID_NEGATIVE,True,123,123,16.135810170322657,0,0,8,0,9,8,82394,1
